sep=;;;;;;
Dataset;k;accuracy;alpha;weights;individual_accs;time
ionosphere;5;74.963;0.6;[0.000, 0.000, 0.000, 0.444, 0.000, 0.000, 0.556];[0.862, 0.330, 0.847, 0.574, 0.582, 0.582, 0.911];5.309
ionosphere;5;74.435;0.1;[0.237, 0.000, 0.025, 0.000, 0.738, 0.000, 0.000];[0.896, 0.306, 0.855, 0.576, 0.448, 0.582, 0.919];5.001
ionosphere;5;73.519;0.2;[0.024, 0.000, 0.080, 0.000, 0.627, 0.000, 0.269];[0.894, 0.327, 0.837, 0.579, 0.662, 0.544, 0.887];5.209
ionosphere;5;72.926;0.4;[0.098, 0.000, 0.000, 0.479, 0.000, 0.000, 0.423];[0.883, 0.298, 0.875, 0.570, 0.582, 0.582, 0.905];5.735
ionosphere;5;64.167;0;[0.000, 0.000, 0.258, 0.531, 0.000, 0.000, 0.210];[0.891, 0.304, 0.863, 0.573, 0.582, 0.572, 0.903];5.771
ionosphere;7;81.157;0.7;[0.519, 0.000, 0.020, 0.000, 0.161, 0.161, 0.139];[0.877, 0.313, 0.877, 0.580, 0.577, 0.577, 0.912];5.888
ionosphere;7;76.62;1;[0.000, 0.000, 0.064, 0.402, 0.000, 0.000, 0.533];[0.858, 0.320, 0.854, 0.576, 0.577, 0.577, 0.904];5.76
ionosphere;7;76.417;0.9;[0.345, 0.000, 0.000, 0.406, 0.000, 0.000, 0.248];[0.878, 0.298, 0.854, 0.576, 0.577, 0.577, 0.904];5.611
ionosphere;7;76.093;0.3;[0.010, 0.000, 0.173, 0.426, 0.000, 0.000, 0.391];[0.866, 0.240, 0.870, 0.591, 0.577, 0.577, 0.909];5.802
ionosphere;7;75.833;1;[0.193, 0.000, 0.020, 0.186, 0.091, 0.091, 0.418];[0.858, 0.320, 0.854, 0.576, 0.577, 0.577, 0.904];6.84
ionosphere;7;75.769;0.8;[0.244, 0.000, 0.041, 0.000, 0.205, 0.205, 0.306];[0.868, 0.310, 0.868, 0.576, 0.577, 0.577, 0.903];5.979
ionosphere;7;75.269;0.5;[0.114, 0.000, 0.069, 0.000, 0.221, 0.221, 0.376];[0.886, 0.323, 0.873, 0.571, 0.577, 0.577, 0.902];5.922
ionosphere;7;75.25;0.6;[0.000, 0.030, 0.000, 0.413, 0.000, 0.000, 0.557];[0.845, 0.333, 0.847, 0.599, 0.577, 0.577, 0.907];6.276
ionosphere;7;74.139;0.1;[0.181, 0.000, 0.159, 0.000, 0.660, 0.000, 0.000];[0.887, 0.305, 0.856, 0.592, 0.504, 0.577, 0.916];5.054
ionosphere;7;73.204;0.4;[0.128, 0.000, 0.000, 0.442, 0.000, 0.000, 0.430];[0.868, 0.300, 0.870, 0.584, 0.577, 0.577, 0.905];5.762
ionosphere;7;72.926;0.2;[0.033, 0.000, 0.030, 0.000, 0.681, 0.000, 0.256];[0.892, 0.324, 0.829, 0.600, 0.575, 0.560, 0.896];5.286
ionosphere;7;64.167;0;[0.057, 0.000, 0.257, 0.521, 0.000, 0.000, 0.165];[0.887, 0.306, 0.857, 0.587, 0.577, 0.573, 0.904];5.887
pima;3;65.108;0.1;[0.093, 0.000, 0.135, 0.672, 0.055, 0.000, 0.046];[0.700, 0.569, 0.611, 0.381, 0.606, 0.503, 0.612];9.759
