sep=;
dataset;k;step;acc;weights;best_weights;best_acc
biodegradation;5;2150;68.4095;[26, 0, 0, 39, 26, 0, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2150;68.2095;[26, 0, 0, 39, 26, 0, 13];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2150;70.9714;[26, 0, 0, 39, 26, 0, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2200;85.3333;[26, 0, 13, 26, 0, 13, 26];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2200;83.8095;[26, 0, 13, 26, 0, 13, 26];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2200;88.0952;[26, 0, 13, 26, 0, 13, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2250;80.4762;[26, 0, 26, 39, 0, 0, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2250;78.4762;[26, 0, 26, 39, 0, 0, 13];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2250;83.6952;[26, 0, 26, 39, 0, 0, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2300;84.9143;[26, 13, 0, 0, 26, 0, 39];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2300;83.4095;[26, 13, 0, 0, 26, 0, 39];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2300;87.7524;[26, 13, 0, 0, 26, 0, 39];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2350;85.6667;[26, 13, 13, 0, 13, 0, 39];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2350;83.9619;[26, 13, 13, 0, 13, 0, 39];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2350;88.9048;[26, 13, 13, 0, 13, 0, 39];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2400;84.7524;[26, 13, 39, 0, 0, 0, 26];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2400;82.6476;[26, 13, 39, 0, 0, 0, 26];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2400;87.6667;[26, 13, 39, 0, 0, 0, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2450;85.7048;[26, 26, 13, 0, 0, 0, 39];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2450;83.9905;[26, 26, 13, 0, 0, 0, 39];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2450;88.9429;[26, 26, 13, 0, 0, 0, 39];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2500;66.2095;[26, 39, 0, 13, 26, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2500;66.2095;[26, 39, 0, 13, 26, 0, 0];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2500;66.2095;[26, 39, 0, 13, 26, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2550;84.9143;[39, 0, 0, 0, 13, 39, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2550;83.419;[39, 0, 0, 0, 13, 39, 13];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2550;87.7714;[39, 0, 0, 0, 13, 39, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2600;83.981;[39, 0, 13, 0, 0, 39, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2600;82.0952;[39, 0, 13, 0, 0, 39, 13];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2600;86.5333;[39, 0, 13, 0, 0, 39, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2650;80.4;[39, 0, 26, 26, 13, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2650;78.6;[39, 0, 26, 26, 13, 0, 0];[26, 0, 0, 13, 0, 13, 52];87.3619
