sep=;
dataset;k;step;acc;weights;best_weights;best_acc
pima;5;2250;78.6711;[26, 0, 26, 39, 0, 0, 13];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;3;2250;80.5395;[26, 0, 26, 39, 0, 0, 13];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;7;2500;71.3026;[26, 39, 0, 13, 26, 0, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;5;2300;81.3421;[26, 13, 0, 0, 26, 0, 39];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;3;2300;84.5263;[26, 13, 0, 0, 26, 0, 39];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;7;2550;78.6316;[39, 0, 0, 0, 13, 39, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;2600;80.4342;[39, 0, 13, 0, 0, 39, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;5;2350;83.3158;[26, 13, 13, 0, 13, 0, 39];[13, 0, 39, 13, 0, 0, 39];84.4474
pima;3;2350;84.5132;[26, 13, 13, 0, 13, 0, 39];[13, 0, 39, 13, 0, 0, 39];85.7368
pima;7;2650;78.9737;[39, 0, 26, 26, 13, 0, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;2700;77.9474;[39, 13, 0, 39, 13, 0, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;5;2400;84.4868;[26, 13, 39, 0, 0, 0, 26];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2400;85.7632;[26, 13, 39, 0, 0, 0, 26];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;7;2750;78.5132;[39, 26, 0, 13, 13, 0, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2450;85.1447;[26, 26, 13, 0, 0, 0, 39];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2450;82.7632;[26, 26, 13, 0, 0, 0, 39];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;7;2800;77.9605;[52, 0, 0, 0, 13, 26, 13];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;2850;77.9737;[52, 0, 26, 0, 0, 26, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2500;81.4474;[26, 39, 0, 13, 26, 0, 0];[26, 13, 39, 0, 0, 0, 26];85.7632
